DATE,nber_recessions,real_personal_income_less_transfers,real_pce,real_gdp,real_gdi,real_avg_gdp_gdi,total_nonfarm_emp,emp_level,industrial_prod_index,real_manuf_trade_sales,log_real_personal_income_less_transfers,log_real_pce,log_real_gdp,log_real_gdi,log_real_avg_gdp_gdi,log_total_nonfarm_emp,log_emp_level,log_industrial_prod_index,log_real_manuf_trade_sales
1984Q4,0,5757.763,4945.926,7754.117,7691.551,7722.834,95906.0,105944.0,55.0,641429.0,0.03746087681463297,0.051483108704596055,0.03270025751908416,0.0437011320957116,0.03817489378489608,0.035651494642951816,0.02199648716363361,0.0,0.03832913209647896
1985Q1,0,5792.0,5029.959,7829.26,7756.94,7793.1,96572.0,106615.0,55.0,645558.0,0.0237144954623027,0.06739050233123403,0.03857627645554649,0.03386189136732964,0.03622932675882421,0.027681196102318634,0.025254248614136336,0.0,0.025666236980912735
1985Q2,0,5816.447,5076.136,7898.194,7812.177,7855.186,97270.0,106791.0,55.0,650775.0,0.016847756563256697,0.036554037033723154,0.03506451403289539,0.02838297471236691,0.03174089521852543,0.028807091005765114,0.006597754136353787,0.0,0.0321956050808946
1985Q3,0,5850.522,5172.55,8018.809,7906.89,7962.85,97844.0,107186.0,55.0,655711.0,0.023365175231753153,0.07526181941191946,0.060623125466650926,0.04820344424159586,0.05445210145492016,0.023535026945140137,0.014767959123831555,0.0,0.03022473098325476
1985Q4,0,5920.912,5183.741,8078.415,7951.151,8014.783,98428.0,108023.0,55.0,656738.0,0.04783841221077462,0.008644797142832516,0.02962313125646063,0.022328667170511286,0.026002941931981546,0.023803771234478535,0.03111409728218543,0.0,0.006260054049286331
1986Q1,0,5971.139,5229.041,8153.829,8029.722,8091.776,98838.0,108735.0,55.0,663536.0,0.03378882156701874,0.034803598722023356,0.03716777180245956,0.03933283649668901,0.03824210320904185,0.016627319066585933,0.026278248028643977,0.0,0.0411918136750264
1986Q2,0,6042.824,5286.019,8190.552,8052.161,8121.357,99175.0,109206.0,55.0,673158.0,0.04773502348677051,0.04335005805330913,0.01797464794566439,0.011162381699620734,0.014596084704148462,0.013615280829974723,0.017289109741498748,0.0,0.05758784701618546
1986Q3,0,6087.386,5379.527,8268.935,8102.679,8185.807,99665.0,109970.0,55.0,683852.0,0.029389235942660814,0.07014016606842585,0.038097708654005344,0.02501698050613884,0.03161817006510483,0.01971438309734086,0.027886377866070167,0.0,0.06304579265061536
1986Q4,0,6124.036,5412.515,8313.338,8166.672,8240.005,100313.0,110492.0,56.0,688462.0,0.024010379819849683,0.024453650377231573,0.02142196362482607,0.031466936828443995,0.02639659905417656,0.025922942243439388,0.018942075296174834,0.07207402201071285,0.02687441702778344
1987Q1,0,6161.246,5417.904,8375.274,8251.177,8313.226,100920.0,111206.0,57.0,691743.0,0.024230694117579853,0.0039806404127090715,0.029690322652054908,0.04117749957500952,0.035387159187013496,0.024131304149072687,0.02576486819403963,0.07079830839760343,0.019017500619578426
1987Q2,0,6204.271,5491.837,8465.63,8382.813,8424.221,101709.0,112158.0,58.0,698682.0,0.02783558415104623,0.05421513256351636,0.042922573284498215,0.06331072607838817,0.053053074165556824,0.031150683765504776,0.03409701705141161,0.06956697084747696,0.039924814975161975
1987Q3,0,6270.814,5554.512,8539.075,8504.808,8521.941,102438.0,112867.0,59.0,707197.0,0.042672979694644335,0.04539105006549208,0.03455300480715394,0.057792449120665876,0.04613249096339173,0.02856777121167352,0.02520617162234213,0.06837773343720016,0.04845426454440701
1987Q4,0,6381.121,5566.263,8685.694,8618.546,8652.12,103390.0,113527.0,60.0,711196.0,0.06975046588689979,0.00845337082967197,0.06809846508392589,0.053138969266620366,0.06064098329538804,0.03700203232580119,0.023322238919667795,0.06722847326552477,0.022555162615709435
1988Q1,0,6433.604,5664.593,8730.569,8721.42,8725.995,104152.0,114093.0,61.0,722133.0,0.03276436658034833,0.07004453633448783,0.020612963553857905,0.047462702984723194,0.034008496323497915,0.029372499985976654,0.01989284479622707,0.06611720780484202,0.06104509027020324
1988Q2,0,6485.764,5706.414,8845.28,8821.826,8833.553,105007.0,114623.0,61.0,732502.0,0.03229896905713414,0.029423032502118973,0.05221375254986109,0.04578723747831266,0.04900324095347492,0.03270257602788222,0.018538307723776053,0.0,0.05702695523382051
1988Q3,0,6553.05,5757.12,8897.107,8901.646,8899.376,105746.0,115233.0,61.0,736301.0,0.04128387584195431,0.03538617720705398,0.02336873720965137,0.03602930155522479,0.02969539992465568,0.02805191019933374,0.02123073340006638,0.0,0.02069172501155574
1988Q4,0,6620.378,5822.579,9015.661,9022.927,9019.294,106597.0,115947.0,62.0,749275.0,0.04088751158135362,0.04522376429262131,0.052948033967755576,0.05413031634305315,0.053539594322804265,0.032061506378863285,0.024708098287349465,0.0650420834871213,0.06986827929735757
